,City,Cloudiness (%),Country,Date,Humidity (%),Latitude,Longitude,Max Temperature (F),Wind Speed (mph)
47,Sao Jose da Coroa Grande,76,BR,1554665051,88,-8.9,-35.15,81.29,9.64
48,Butaritari,92,KI,1554665051,100,3.07,172.79,80.57,12.21
49,Albany,75,US,1554664775,42,42.65,-73.75,63.95,4.7
50,Gazanjyk,68,TM,1554665051,80,39.24,55.52,56.81,3.83
51,Miyako,20,JP,1554664997,76,33.63,130.94,56.25,8.05
52,Yellowknife,90,CA,1554664656,86,62.45,-114.38,27.52,9.17
53,Fayaoue,0,NC,1554665052,100,-20.65,166.53,77.24,12.77
54,Turayf,0,SA,1554663600,37,31.68,38.65,68,13.87
55,Sterling,90,US,1554664938,52,39,-77.4,70.23,11.41
56,Cherskiy,0,RU,1554665053,47,68.75,161.3,-2.14,2.26
57,Bhachau,0,IN,1554665053,36,23.3,70.35,86.24,13
58,Meulaboh,48,ID,1554664806,100,4.14,96.13,80.84,1.92
59,Jamestown,0,AU,1554665053,81,-33.21,138.6,42.59,2.48
60,Russkiy Aktash,75,RU,1554661800,93,55.04,52.12,37.4,15.66
61,Hobart,40,AU,1554664876,76,-42.88,147.33,47.84,5.82
62,Alice Springs,8,AU,1554661800,42,-23.7,133.88,64.4,5.82
63,Kloulklubed,90,PW,1554663000,88,7.04,134.26,78.8,8.05
64,Kurush,0,RU,1554665054,94,41.28,47.83,34.4,1.7
65,Bandarbeyla,0,SO,1554665054,100,9.49,50.81,80.39,7.63
66,Beringovskiy,64,RU,1554665054,86,63.05,179.32,10.37,25.64
67,Ler,75,NO,1554664815,74,63.2,10.3,36.46,5.82
68,Barrow,0,AR,1554664921,37,-38.31,-60.23,82.91,10.09
69,Holme,32,GB,1554664946,71,53.7,-2.31,51.58,8.05
70,Hithadhoo,92,MV,1554665055,100,-0.6,73.08,85.43,3.6
71,Sioux Lookout,90,CA,1554660000,93,50.1,-91.92,36.73,8.05
72,Puerto Ayora,20,EC,1554664533,70,-0.74,-90.35,84.06,10.29
73,Qaanaaq,88,GL,1554665056,92,77.48,-69.36,19.28,15.01
74,Orumiyeh,75,IR,1554663600,57,37.55,45.08,50,6.93
75,Esna,80,RO,1554665056,61,45.2,27.57,54.47,4.72
76,Touros,40,BR,1554663600,70,-5.2,-35.46,86,14.99
77,Lebu,75,ET,1554660000,67,8.96,38.73,62.6,4.7
78,Kollam,20,IN,1554661800,74,8.88,76.6,86,3.36
79,Jaciara,92,BR,1554665057,70,-15.95,-54.98,80.21,5.95
80,Ola,12,RU,1554665057,82,59.58,151.3,27.56,17.81
81,Kamenka,0,RU,1554665057,83,53.19,44.05,23.06,2.93
82,Maracaju,68,BR,1554665058,83,-21.61,-55.17,74.45,6.73
83,Broome,90,GB,1554665049,93,52.47,1.45,46.6,6.93
84,Gushi,0,CN,1554665058,84,32.17,115.65,61.49,2.71
85,Grand-Santi,80,GF,1554665058,67,4.27,-54.38,83.9,3.15
86,Avarua,64,CK,1554663600,78,-21.21,-159.78,80.6,11.41
87,Ribeira Grande,40,PT,1554663600,62,38.52,-28.7,57.2,18.34
88,Hasaki,0,JP,1554664062,66,35.73,140.83,50.27,17.22
89,Codrington,0,AU,1554664790,93,-28.95,153.24,61.84,3.6
90,Kapuskasing,90,CA,1554660000,40,49.42,-82.43,35.6,16.11
91,Itarema,48,BR,1554665059,95,-2.92,-39.92,81.74,7.63
92,Parana,90,BR,1554660000,78,-7.52,-72.89,75.2,4.7
93,Hermanus,0,ZA,1554664632,87,-34.42,19.24,63.97,1.99
94,Tucurui,92,BR,1554664829,88,-3.77,-49.67,80.48,3.15
95,Molodizhne,56,UA,1554665060,70,45.01,34.06,50.06,6.17
96,Harper,90,US,1554665059,72,30.3,-99.24,64.35,4.7
97,Biltine,0,TD,1554665060,32,14.53,20.93,82.64,4.72
98,Tuktoyaktuk,90,CA,1554660000,77,69.44,-133.03,3.2,9.17
99,Salvador,40,BR,1554663600,70,-12.98,-38.48,86,10.29
100,Victoria,75,BN,1554661800,94,5.28,115.24,78.35,1.12
101,Charters Towers,0,AU,1554665062,89,-20.07,146.27,64.19,6.4
102,Bilibino,0,RU,1554665062,66,68.06,166.44,-1.69,2.93
103,Saint-Gabriel,90,CA,1554664786,65,46.3,-73.38,42.28,5.82
104,Tocache,88,PE,1554665062,96,-8.19,-76.51,60.68,2.48
105,Kahului,20,US,1554664838,57,20.89,-156.47,74.91,8.05
106,Jalu,0,LY,1554664902,45,29.03,21.55,74.36,2.59
107,Tautira,20,PF,1554664346,70,-17.73,-149.15,87.33,5.82
108,Myre,90,SE,1554664710,96,62.25,17.37,35.31,11.41
109,Lata,24,IN,1554665063,97,30.78,78.62,44.39,2.37
110,Namibe,0,AO,1554665063,100,-15.19,12.15,77.42,8.75
111,Tuatapere,8,NZ,1554665063,100,-46.13,167.69,43.31,3.38
112,Palmer,75,AU,1554665010,77,-34.85,139.16,59.36,8.05
113,Olinda,75,EC,1554664625,58,-2.03,-79.75,89.35,5.82
114,Katsuura,75,JP,1554663900,93,33.93,134.5,53.56,19.46
115,Arraial do Cabo,0,BR,1554663600,74,-22.97,-42.02,86.92,10.29
116,Ormara,0,PK,1554665064,71,25.21,64.64,80.39,13.44
117,Longyearbyen,20,NO,1554663000,78,78.22,15.63,10.4,3.36
118,Esperance,20,TT,1554664550,43,10.24,-61.45,87.69,14.99
119,Nelson Bay,0,AU,1554664850,87,-32.72,152.14,66.27,3.36
120,Ushirombo,48,TZ,1554665065,90,-3.47,31.9,67.79,3.49
121,Trelew,36,AR,1554665065,36,-43.25,-65.31,80.66,3.04
122,Saskylakh,8,RU,1554665065,75,71.97,114.09,13.16,11.21
123,Alofi,92,NU,1554663600,88,-19.06,-169.92,80.6,6.93
124,Troitskoye,0,RU,1554665066,76,52.98,84.68,20.45,3.49
125,Muravlenko,48,RU,1554665066,82,63.79,74.5,24.68,10.65
126,Monte Alegre,36,BR,1554665066,73,-2,-54.07,86.96,3.04
127,Kisangani,44,CD,1554665067,98,0.52,25.21,74.63,1.7
128,Tasiilaq,92,GL,1554663000,63,65.61,-37.64,30.2,21.92
129,Thompson,90,CA,1554660000,44,55.74,-97.86,21.2,10.29
130,Kavaratti,0,IN,1554665067,99,10.57,72.64,85.43,10.2
131,Mazagao,75,BR,1554663600,88,-0.12,-51.29,82.4,6.93
132,Filingue,0,NE,1554665067,18,14.35,3.32,96.23,7.74
133,Bom Jesus,44,BR,1554665068,82,-9.08,-44.36,83.99,4.61
134,Archidona,75,EC,1554660000,100,-0.91,-77.81,73.4,2.24
135,Mar del Plata,92,AR,1554664985,64,-46.43,-67.52,56.36,7.96
136,Pakxan,48,LA,1554665069,94,18.39,103.66,73.19,1.81
137,Moussoro,0,TD,1554665069,49,13.64,16.49,90.38,2.71
138,Formosa,20,AR,1554663600,50,-26.19,-58.17,78.8,11.41
139,Puerto Cabezas,75,NI,1554663600,70,14.04,-83.39,86,11.41
140,Gari,12,RU,1554665070,82,59.43,62.35,32.06,4.16
141,New Norfolk,40,AU,1554664820,76,-42.78,147.06,47.84,5.82
142,Severo-Kurilsk,88,RU,1554664982,95,50.68,156.12,32.51,21.83
143,Torbay,90,CA,1554664762,71,47.66,-52.73,33.06,17.22
144,Souillac,0,FR,1554665068,66,45.6,-0.6,52.38,6.93
145,Bathsheba,40,BB,1554660000,62,13.22,-59.52,84.2,23.04
146,Igurusi,36,TZ,1554665071,82,-8.83,33.85,65.18,4.5
147,Yanggu,92,CN,1554665071,94,25.39,116.32,64.46,2.15
148,Yugo-Kamskiy,0,RU,1554661800,52,57.7,55.58,46.4,11.18
149,Diffa,8,NE,1554665071,36,13.32,12.61,92.81,3.15
150,Pisco,0,PE,1554660000,30,-13.71,-76.2,71.6,10.29
151,Port Elizabeth,1,US,1554665059,48,39.31,-74.98,67.5,10.29
152,Upernavik,36,GL,1554665072,82,72.79,-56.15,36.56,17.92
153,Georgetown,20,GY,1554660000,58,6.8,-58.16,86.99,13.87
154,Ennis,75,IE,1554663600,71,52.84,-8.98,53.6,10.29
155,Port Hardy,75,CA,1554660000,87,50.7,-127.42,46.4,13.87
156,Atbasar,0,KZ,1554665072,79,51.81,68.36,35.57,6.96
157,Salalah,0,OM,1554663000,78,17.01,54.1,80.6,3.36
158,Grootfontein,40,NA,1554660000,44,-19.56,18.1,75.2,5.82
159,San Policarpo,68,PH,1554665073,100,12.18,125.51,77.69,8.19
160,Winnemucca,90,US,1554664525,39,40.97,-117.74,61.25,12.75
161,Sistranda,20,NO,1554665067,69,63.73,8.83,36.77,17.22
162,Mayumba,56,GA,1554665073,90,-3.44,10.65,82.46,8.63
163,Tabas,92,IR,1554663600,56,33.6,56.92,69.8,6.93
164,Husavik,88,CA,1554664817,99,50.56,-96.99,43,3
165,Yumen,88,CN,1554665074,42,40.29,97.04,50.6,17.47
166,Luganville,0,VU,1554665074,100,-15.51,167.18,81.38,12.21
167,Caravelas,0,BR,1554664796,96,-17.73,-39.27,83.18,13.67
168,Brokopondo,75,SR,1554660000,62,5.06,-54.98,84.2,12.75
169,West Wendover,1,US,1554663360,36,40.74,-114.07,62.6,10.29
170,Yerbogachen,48,RU,1554665075,72,61.28,108.01,28.01,6.62
171,Hajiganj,48,BD,1554665075,98,23.25,90.85,70.49,2.15
172,Polyarnyy,0,RU,1554661800,73,69.2,33.45,23,2.24
173,Ahipara,48,NZ,1554664941,94,-35.17,173.16,59.15,12.88
174,Norden,0,DE,1554665064,67,53.59,7.21,55.26,8.05
175,Hambantota,20,LK,1554660600,100,6.12,81.12,78.8,2.24
176,Morshansk,0,RU,1554665076,78,53.44,41.81,33.86,2.82
177,Port-Gentil,20,GA,1554663600,79,-0.72,8.78,84.2,6.93
178,Lavrentiya,0,RU,1554665076,90,65.58,-170.99,12.35,37.16
179,Clyde River,20,CA,1554663600,78,70.47,-68.59,12.2,6.93
180,Mandalay,0,MM,1554664958,96,21.98,96.08,68.06,5.84
181,Yar-Sale,80,RU,1554665077,79,66.83,70.83,23.6,11.77
182,Roebourne,44,AU,1554665077,89,-20.77,117.15,75.89,2.82
183,Farakka,20,IN,1554665077,86,24.79,87.91,71.48,7.18
184,Ravar,88,IR,1554665077,37,31.27,56.81,69.32,3.6
185,Svetlaya,24,RU,1554665078,98,46.54,138.33,29.45,3.38
186,Dawlatabad,0,AF,1554665078,82,36.41,64.91,61.31,7.63
187,Cumpas,0,MX,1554665078,26,30,-109.78,75.44,2.82
188,Juneau,90,US,1554663360,66,58.3,-134.42,46.99,16.11
189,Espeland,40,NO,1554664812,87,60.38,5.47,44.42,4.7
190,Saldanha,92,PT,1554664784,98,41.42,-6.55,46.28,7.74
191,Dingle,76,PH,1554665079,97,11,122.67,76.16,9.75
192,Golovchino,0,RU,1554661800,45,50.53,35.8,48.2,8.95
193,Cap Malheureux,40,MU,1554665040,74,-19.98,57.61,79.32,16.11
194,Pacific Grove,1,US,1554664939,68,36.62,-121.92,67.95,6.93
195,Maniitsoq,92,GL,1554665079,97,65.42,-52.9,32.51,8.19
196,Kauhajoki,90,FI,1554665049,96,62.43,22.18,38.21,3.36
197,Celestun,0,MX,1554664983,84,20.87,-90.4,83.81,8.63
198,Hilo,1,US,1554664851,54,19.71,-155.08,75.02,4.7
199,Biak,12,ID,1554664952,99,-0.91,122.88,78.59,1.59
200,Moramanga,92,MG,1554665080,100,-18.95,48.23,65,3.94
201,Akureyri,0,IS,1554663600,56,65.68,-18.09,41,9.17
202,Gijon,75,ES,1554665045,87,43.54,-5.66,50,3.36
203,Sao Filipe,0,CV,1554665081,91,14.9,-24.5,72.92,15.57
204,Ulaangom,24,MN,1554665081,80,49.98,92.07,18.11,2.37
205,Nikolskoye,0,RU,1554664836,45,59.7,30.79,42.1,6.71
206,Kendari,80,ID,1554665081,94,-3.99,122.52,75.53,2.71
207,East London,40,ZA,1554660000,83,-33.02,27.91,69.8,13.87
208,Vardo,75,US,1554665074,49,39.62,-77.74,69.55,14.99
209,Senno,88,RU,1554660000,37,57.76,27.95,51.8,4.47
210,Meadow Lake,75,CA,1554662580,82,54.13,-108.44,35.6,6.93
211,Ambanja,44,MG,1554665082,94,-13.68,48.45,73.01,1.59
212,Saint George,75,GR,1554665004,67,39.45,22.34,58.8,6.93
213,Khatanga,56,RU,1554664940,82,71.98,102.47,14.6,14.79
214,Chokurdakh,32,RU,1554665083,66,70.62,147.9,8.39,2.93
215,Palu,32,ID,1554665083,94,-0.9,119.87,66.26,1.48
216,Shimoda,75,JP,1554664811,72,34.7,138.93,58.19,4.7
217,Beira,20,ES,1554664995,87,43.2,-8.36,51.24,14.99
218,Simbahan,8,PH,1554665084,98,6.3,120.58,82.64,12.66
219,Kieta,80,PG,1554665084,100,-6.22,155.63,78.32,4.38
220,Chuy,20,UY,1554664923,86,-33.69,-53.46,72.47,4.61
221,Pearl Lagoon,75,NI,1554663600,70,12.34,-83.67,86,6.93
222,Nemuro,0,JP,1554665085,95,43.32,145.57,33.95,15.23
223,Texarkana,90,US,1554664824,100,33.44,-94.04,66.9,3.36
224,Beian,20,NO,1554665084,69,63.66,9.57,36.9,17.22
225,Kyren,92,RU,1554665085,92,51.68,102.13,25.4,2.15
226,Havoysund,75,NO,1554663000,74,71,24.66,29.59,20.8
227,Hervey Bay,0,AU,1554664546,88,-25.3,152.85,63.99,8.05
228,Yauya,36,PE,1554665086,78,-8.99,-77.29,55.28,2.48
229,Faanui,24,PF,1554664965,98,-16.48,-151.75,85.34,17.81
230,Kavieng,48,PG,1554664915,100,-2.57,150.8,78.59,4.5
231,Srandakan,32,ID,1554665086,96,-7.94,110.25,71.57,2.71
232,Puerto Escondido,40,MX,1554662580,69,15.86,-97.07,82.4,10.29
233,Kui Buri,8,TH,1554665086,93,12.07,99.86,75.98,1.92
234,Airai,12,TL,1554665087,91,-8.93,125.41,68.51,1.03
235,Ust-Omchug,56,RU,1554665087,69,61.13,149.63,11.09,2.48
236,Teahupoo,20,PF,1554664346,70,-17.83,-149.27,87.33,5.82
237,Iqaluit,90,CA,1554664325,85,63.75,-68.52,24.42,17.22
238,Sokolo,0,ML,1554665087,19,14.74,-6.12,94.7,10.65
239,Tiksi,56,RU,1554665088,74,71.64,128.87,19.64,10.42
240,Poum,75,MK,1554660000,62,41.28,20.71,53.6,3.36
241,Fortuna,20,ES,1554664832,30,38.18,-1.13,64.15,11.41
242,Puerto El Triunfo,40,SV,1554664380,62,13.27,-88.55,89.6,8.05
243,Vostok,44,RU,1554665088,82,46.45,135.83,20.99,1.81
244,Kresek,40,ID,1554665029,83,-6.13,106.38,78.69,4.7
245,Kutum,0,SD,1554665010,39,14.2,24.66,72.83,2.93
246,La Concepcion,40,PA,1554664799,62,8.51,-82.62,75.51,12.75
247,Trinidad,0,UY,1554665089,50,-33.52,-56.9,74.36,4.61
248,Langsa,76,ID,1554665089,94,4.47,97.97,72.65,2.15
249,Nanortalik,12,GL,1554665089,96,60.14,-45.24,32.96,4.16
250,Provideniya,0,RU,1554665090,100,64.42,-173.23,14.69,25.08
251,Louis Trichardt,20,ZA,1554665090,81,-23.04,29.91,67.16,4.27
252,San Patricio,0,PY,1554664927,61,-26.98,-56.83,76.52,5.73
253,San Quintin,0,PH,1554664933,83,17.54,120.52,69.23,2.37
254,Lodja,64,CD,1554665090,91,-3.52,23.6,75.26,4.16
255,Kapiri Mposhi,0,ZM,1554665090,51,-13.97,28.68,74.09,10.76
256,Dondo,40,MZ,1554663600,78,-19.62,34.74,77,6.96
257,Langxiang,56,CN,1554665091,85,46.95,128.87,27.11,2.48
258,Weligama,80,LK,1554664950,90,5.97,80.42,82.19,2.15
259,Kipit,64,PH,1554665091,79,8.05,122.53,77.69,8.3
260,Castro,75,CL,1554660000,77,-42.48,-73.76,64.4,12.75
261,Umm Kaddadah,0,SD,1554665092,16,13.6,26.69,78.05,3.6
262,Mozarlandia,44,BR,1554665092,90,-14.74,-50.57,84.08,3.27
263,Mountain Home,20,US,1554664871,100,43.13,-115.69,56.43,11.41
264,Srednekolymsk,44,RU,1554665012,89,67.46,153.71,5.96,2.71
265,Svetlogorsk,56,RU,1554661800,59,53.14,59.15,37.4,6.71
266,San Jose,92,PH,1554665071,91,15.79,120.99,74.81,2.04
267,Ponta do Sol,92,BR,1554664981,97,-20.63,-46,70.13,4.94
268,Champerico,5,MX,1554662760,23,16.38,-93.6,95,5.82
269,Makow Mazowiecki,0,PL,1554664839,66,52.86,21.1,52.3,1.12
270,Aklavik,40,CA,1554660000,65,68.22,-135.01,11.35,6.93
271,Zalantun,0,CN,1554665094,62,48,122.72,29.72,6.62
272,Huilong,8,CN,1554665094,84,28.89,110.18,59.69,3.71
273,Homer,20,US,1554664836,75,59.64,-151.54,43.34,4.7
274,Saint-Marc-des-Carrieres,1,CA,1554660000,27,46.68,-72.05,41.4,14.99
275,Puri,24,ID,1554665095,92,-7.54,112.45,70.49,2.82
276,Brainerd,90,US,1554664993,100,46.36,-94.2,47.73,11.99
277,Hun,88,BE,1554665079,93,50.34,4.87,53.15,10.29
278,San Rafael,0,AR,1554664822,15,-34.61,-68.33,86.15,8.86
279,Neuquen,0,AR,1554663600,31,-38.95,-68.06,87.8,3.36
280,Mana,0,RS,1554663600,44,43.52,20.24,54.23,5.82
281,Cabedelo,75,BR,1554663600,74,-6.97,-34.84,84.2,10.29
282,San Cristobal,75,EC,1554664505,63,-0.39,-78.55,62.55,17.22
283,Hofn,88,IS,1554665097,100,64.25,-15.21,36.65,15.57
284,Kiama,12,AU,1554665087,67,-34.67,150.86,63.3,3.36
285,Faya,0,SA,1554663600,72,18.39,42.45,65.32,6.93
286,Kijang,20,KR,1554663600,100,35.24,129.21,46.4,2.24
287,Avera,1,US,1554664921,57,33.19,-82.53,80.1,6.93
288,Cabo San Lucas,5,MX,1554664854,53,22.89,-109.91,77.54,10.29
289,Chifeng,0,CN,1554665099,47,42.27,118.96,26.93,6.4
290,Alekseyevka,40,RU,1554661800,100,53.25,50.49,41,6.71
291,Rio Gallegos,75,AR,1554663600,53,-51.62,-69.22,51.8,9.17
292,Mount Isa,0,AU,1554663600,64,-20.73,139.49,69.8,9.64
293,Hamilton,90,CA,1554665041,75,43.26,-79.87,52.9,13.87
294,Matadi,32,CD,1554665100,85,-5.83,13.46,80.57,5.17
295,Naze,40,NG,1554660000,78,5.43,7.07,82.4,9.17
296,Iralaya,20,HN,1554660000,55,15,-83.23,87.8,10.29
297,Ancud,75,CL,1554660000,77,-41.87,-73.83,64.4,12.75
298,Saint Anthony,90,US,1554664842,57,43.97,-111.68,49.21,21.92
299,Quelimane,20,MZ,1554660000,78,-17.88,36.89,80.6,4.7
300,Norman Wells,90,CA,1554660000,73,65.28,-126.83,24.8,2.24
301,Jardim,0,BR,1554665101,64,-21.48,-56.15,77.96,9.42
302,Ostrovnoy,56,RU,1554665078,90,68.05,39.51,26.93,7.18
303,Arua,68,UG,1554665102,76,3.02,30.91,75.35,2.26
304,Geraldton,90,CA,1554662940,75,49.72,-86.95,32,16.11
305,Salinopolis,92,BR,1554665102,100,-0.61,-47.36,79.85,6.17
306,Kampong Thum,68,KH,1554664906,83,12.71,104.89,78.68,4.38
307,Marienburg,0,DE,1554664999,44,52.12,9.98,57.4,4.7
308,Smyrna,90,US,1554665014,69,35.98,-86.52,72.41,11.41
309,Emba,0,CY,1554664584,87,34.81,32.42,57.69,5.82
310,Saint-Louis,75,CH,1554665002,76,47.59,7.56,47.61,11.41
311,Athens,1,US,1554665029,69,34.8,-86.97,76.55,8.05
312,Yarada,20,IN,1554660000,83,17.65,83.27,80.6,4.7
313,Sept-Iles,75,CA,1554664704,27,50.2,-66.38,25.9,16.11
314,Cayenne,75,GF,1554661800,78,4.94,-52.33,80.6,8.05
315,Santa Ana,40,SV,1554663045,65,13.99,-89.56,82.15,3.36
316,Neryungri,20,RU,1554665104,81,56.66,124.71,15.41,6.17
317,Fairbanks,1,US,1554665012,44,64.84,-147.72,40.78,3.36
318,Namatanai,80,PG,1554665105,100,-3.66,152.44,77.96,6.4
319,Half Moon Bay,1,US,1554664891,82,37.46,-122.43,66.6,6.93
320,Leningradskiy,44,RU,1554665105,78,69.38,178.42,-0.61,3.6
321,Soe,48,EE,1554664815,68,57.91,26.05,49.08,5.82
322,Fortuna Foothills,1,US,1554664684,15,32.66,-114.41,86,6.93
323,Tecoanapa,40,MX,1554662820,74,16.99,-99.26,82.4,11.41
324,Lagoa,40,PT,1554664646,93,37.14,-8.45,59.43,12.75
325,Brae,0,GB,1554663000,92,60.4,-1.35,42.8,25.28
326,Luderitz,0,NA,1554665107,82,-26.65,15.16,61.13,13.44
327,Maldonado,0,UY,1554660000,53,-34.91,-54.96,71.6,11.41
328,Ilhabela,64,BR,1554665107,100,-23.78,-45.36,78.59,8.3
329,Oranjemund,92,ZA,1554665107,92,-28.55,16.43,61.49,3.71
330,Honiara,64,SB,1554665108,100,-9.43,159.96,74.63,2.26
331,Sao Gabriel da Cachoeira,90,BR,1554663600,78,-0.13,-67.09,80.6,6.93
332,Tessalit,0,ML,1554665108,15,20.2,1.01,79.85,7.18
333,Acapulco,40,MX,1554662820,74,16.86,-99.88,82.4,11.41
334,Razole,0,IN,1554665108,98,16.48,81.84,83.9,10.76
335,Energeticheskiy,75,KZ,1554661800,81,43.43,77.02,42.8,2.24
336,Kalvarija,0,LT,1554665109,66,54.41,23.23,45.65,6.17
337,Rivers,20,CA,1554663600,76,50.03,-100.23,50,8.05
338,Kudahuvadhoo,92,MV,1554664866,100,2.67,72.89,82.28,5.61
339,College,1,US,1554664706,51,64.86,-147.8,36.43,5.82
340,Ereymentau,0,KZ,1554665109,70,51.62,73.1,30.89,6.17
341,Kilindoni,32,TZ,1554665109,100,-7.91,39.67,83,8.19
342,Tieli,44,CN,1554665110,89,46.98,128.05,30.8,4.94
343,Cam Ranh,20,VN,1554661800,88,11.92,109.15,78.8,4.7
344,Zhezkazgan,0,KZ,1554665110,69,47.8,67.71,41.24,15.01
345,Orange,0,AU,1554665085,72,-33.28,149.1,55.51,3.27
346,Cap-Chat,8,CA,1554665061,100,49.1,-66.68,22.97,19.48
347,Bubaque,8,GW,1554665111,73,11.28,-15.83,89.84,2.59
348,Troitsko-Pechorsk,44,RU,1554665111,90,62.71,56.19,34.49,5.84
349,Colares,40,PT,1554665106,87,38.8,-9.45,58.44,10.29
350,The Valley,40,AI,1554664608,58,18.22,-63.06,83.41,16.11
351,Anito,24,PH,1554665112,99,12.45,125.29,80.21,9.98
352,Arman,12,RU,1554665112,79,59.7,150.17,14.6,3.15
353,Mount Gambier,90,AU,1554660000,100,-37.83,140.78,53.6,6.93
354,Komsomolskiy,88,RU,1554665112,88,67.55,63.78,26.66,7.96
355,Walvis Bay,0,NA,1554663729,87,-22.95,14.51,57.02,5.82
356,Port Keats,92,AU,1554665113,100,-14.25,129.55,76.07,12.44
357,Westport,75,IE,1554664923,81,53.8,-9.52,48.25,13.87
358,Zemio,0,CF,1554665113,87,5.02,25.13,75.71,2.59
359,Isangel,24,VU,1554665113,100,-19.55,169.27,77.15,11.54
360,Birobidzhan,80,RU,1554665113,84,48.79,132.93,27.83,2.93
361,Rocha,0,UY,1554664918,61,-34.48,-54.34,73.82,4.38
362,Dire,75,ET,1554660000,67,9.18,38.92,62.6,4.7
363,Klaksvik,44,FO,1554663000,60,62.23,-6.59,41,13.87
364,Cidreira,88,BR,1554665114,96,-30.17,-50.22,69.68,7.96
365,Black Diamond,90,CA,1554665042,33,50.69,-114.23,48.42,4.7
366,Ghanzi,8,BW,1554665114,77,-21.7,21.65,68.51,2.71
367,Mogadishu,0,SO,1554665115,99,2.04,45.34,83.45,10.98
368,Mataquescuintla,75,GT,1554663600,50,14.53,-90.19,77,13.87
369,Port Lincoln,92,AU,1554664909,94,-34.72,135.86,64.1,14.45
370,Makinsk,0,KZ,1554665115,71,52.63,70.42,26.57,6.17
371,Bafoulabe,0,ML,1554665115,21,13.81,-10.83,96.68,9.98
372,Novikovo,44,UA,1554665115,83,45.05,34.56,49.16,3.71
373,Vila Velha,20,BR,1554664691,66,-3.71,-38.6,84.29,16.11
374,Campbell River,75,CA,1554664564,81,50.02,-125.24,48.87,5.82
375,Udala,20,ES,1554664820,76,43.08,-2.51,52.23,6.93
